"","year","operator","dw","country_or_market","data_source"
"224",1965,"Matson",32160,"Transpacific","CIY"
"225",2008,"MCL",25009,"Li","HB"
"226",1972,"Med-Club",34940,"Asia and Eur","CIY"
"227",1983,"Merzario",8510,"Asia and Eur","CIY"
"228",1978,"MFECS",14620,"Transpacific","CIY"
"229",2005,"MFS",98920,"Mm","HB"
"230",2005,"Minsheng Shipping",26317,"SV","HB"
"231",2005,"MISC",470585,"My","HB"
"232",1976,"Mixte",6800,"Asia and Eur","CIY"
"233",1974,"MOL",14060,"Asia and Eur","CIY"
"234",2005,"MOL",5004560,"Pa","HB"
"235",1986,"MOL/NYK",25770,"Transpacific","CIY"
"236",1975,"Montemar",4220,"Transatlantic","CIY"
"237",1978,"Montreal Europe Nav",3080,"Transatlantic","CIY"
"238",1965,"Moore-McCormack Lines Inc",35400,"Transatlantic","CIY"
"239",1970,"MSC",15300,"Asia and Eur","CIY"
"240",2005,"MSC",4063152,"-","HB"
"241",2005,"Nagato",10410,"Pa","HB"
"242",2005,"Nam Sung",157156,"Ko","HB"
"243",1976,"Nav del Odiel",4260,"Transatlantic","CIY"
"244",1970,"Nedlloyd",5090,"Transpacific","CIY"
"245",1973,"Neptune Orient Lines",11000,"Asia and Eur","CIY"
"246",1971,"New England Express Line",14760,"Transatlantic","CIY"
"247",2014,"New Golden Sea Shipping",38890,"Sg","HB"
"248",2005,"NEW ONTO SHIPPING",25103,"Sg","HB"
"249",2007,"Nile Dutch",76359,"Pa","HB"
"250",2005,"Ningbo Ocean Shipping",23063,"SV","HB"
"251",1987,"Nissan",3400,"Transpacific","CIY"
"252",1979,"NLS",3670,"Transpacific","CIY"
"253",1986,"Norasia",52260,"Asia and Eur","CIY"
"254",2005,"Norasia",555679,"Li","HB"
"255",1978,"Norient Line",4400,"Asia and Eur","CIY"
"256",1980,"NSCP",5600,"Transpacific","CIY"
"257",1983,"NSCSA",105500,"Asia and Eur","CIY"
"258",1968,"NYK",8510,"Transpacific","CIY"
"259",2005,"NYK",5883232,"Ja","HB"
"260",2018,"NYK Bulk and Project",36007,"Ja","HB"
"261",1978,"NYK/Showa",12660,"Transpacific","CIY"
"262",1972,"Occon Line",4220,"Asia and Eur","CIY"
"263",1979,"Ocean Lines",4800,"Transatlantic","CIY"
"264",2019,"Ocean Network Express",14495595,"Ja","HB"
"265",1972,"OCL",25000,"Asia and Eur","CIY"
"266",1981,"Omex",19480,"Asia and Eur","CIY"
"267",1971,"OOCL",64500,"Transatlantic","CIY"
"268",2005,"OOCL",2438101,"HK","HB"
"269",1977,"OPDR",1270,"Transatlantic","CIY"
"270",2005,"Orient Ferry",6965,"Pa","HB"
"271",1977,"P&O Containers",54000,"Asia and Eur","CIY"
"272",2005,"P. Continental",62546,"Ko","HB"
"273",1971,"Pacific Far East Line",9920,"Transpacific","CIY"
"274",2005,"Pakistan National Shipping Corporation",130970,"Pk","HB"
"275",2009,"Pan World",9618,"SV","HB"
"276",2008,"PanCon",62546,"Ko","HB"
"277",2005,"Panstar",4249,"Ko","HB"
"278",2005,"PAS",120688,"Ms","HB"
"279",2005,"PDZ SHIPPING",8710,"Ia","HB"
"280",2018,"PEL",52788,"Pt","HB"
"281",2021,"PEN",67591,"Li","HB"
"282",1971,"Phoenix Container Line",20100,"Transpacific","CIY"
"283",2005,"PIL",1572084,"Sg","HB"
"284",1983,"PNSC",4280,"Transpacific","CIY"
"285",2005,"PONL",3699659,"Cp","HB"
"286",1972,"Portline",2170,"Transatlantic","CIY"
"287",2005,"PRO Line",19786,"Cp","HB"
"288",1970,"Prudential Grace Line",3340,"Transatlantic","CIY"
"289",1970,"Prudential Lines",15000,"Transatlantic","CIY"
"290",1984,"PSNC",19020,"Transatlantic","CIY"
"291",2005,"Pukwan Ferry",2406,"Pa","HB"
"292",2009,"Qingdao Marine",23586,"SV","HB"
"293",1978,"Quayport Line",2000,"Transatlantic","CIY"
"294",1980,"Rainbow",1060,"Transatlantic","CIY"
"295",2005,"RCL",146428,"Ge","HB"
"296",1980,"Rickmers",7950,"Asia and Eur","CIY"
"297",2005,"Rickmers",272146,"Ms","HB"
"298",2020,"Rizhao",7991,"HK","HB"
"299",2016,"RKK Line",6700,"Ja","HB"
"300",1977,"Ro-Lo Pacific Line",8000,"Transpacific","CIY"
"301",2006,"S. S. Ferry/Orient Ferry",6965,"Pa","HB"
"302",2005,"Safmarine",157758,"Gr","HB"
"303",1985,"Samband",1640,"Transatlantic","CIY"
"304",1971,"Samudera",2670,"Asia and Eur","CIY"
