"","id","year","ship_name","route_order","port_name","original_port_name"
"686","4",2008,NA,22,"Hongkong, Pasir Gudang, Singapore, Port Kelang, Penang, Bangkok","Hongkong, Pasir Gudang, Singapore, Port Kelang, Penang, Bangkok"
"687","1",2005,NA,26,"Hongkong, Port Kelang","(1)Hongkong, (2)Port Kelang"
"688","7",2011,NA,24,"Hongkong, Port Kelang, Singapore","(1)Hongkong, (2)Port Kelang, (3)(4)Singapore"
"689","6",2010,NA,22,"Hongkong, Port Kelang, Singapore, Baria Vung Tau","Hongkong, (1)Port Kelang, (2)Singapore, Baria Vung Tau(Ho Chi Minh City)"
"690","14",2018,NA,26,"Hongkong, Qinzhou","(3)Hongkong, Qinzhou"
"691","1",2005,NA,22,"Hongkong, Shanghai","Hongkong, Shanghai"
"692","8",2012,NA,23,"Hongkong, Shanghai, Busan","(LW2): (2)Hongkong, (1)Shanghai, (3)Busan"
"693","2",2006,NA,22,"Hongkong, Shanghai, Yantian","Hongkong, Shanghai, Yantian"
"694","1",2005,NA,26,"Hongkong, Shekou","(1)Hongkong, Shekou"
"695","16",2020,NA,26,"Hongkong, Shekou, Qinzhou","(3)Hongkong, Shekou, Qinzhou"
"696","12",2016,NA,32,"Hongkong, Shekou, Shanghai","(2)Hongkong, Shekou, Shanghai"
"697","14",2018,NA,26,"Hongkong, Shekou, Singapore","(1)Hongkong, (2)Shekou, (3)Singapore"
"698","4",2008,NA,22,"Hongkong, Shekou, Singapore, Tanjung Pelepas","(1)Hongkong, (1)Shekou, (1)(2)Singapore, (2)Tanjung Pelepas"
"699","1",2005,NA,22,"Hongkong, Shekou, Xiamen","(1)Hongkong, Shekou, Xiamen"
"700","10",2014,NA,22,"Hongkong, Siam Seaport , Bangkok, Singapore, Port Kelang","Hongkong, Siam Seaport , Bangkok, Singapore, Port Kelang"
"701","11",2015,NA,22,"Hongkong, Siam Seaport, Bangkok, Singapore, Port Kelang","Hongkong, Siam Seaport, Bangkok, Singapore, Port Kelang"
"702","10",2014,NA,22,"Hongkong, Siam Seaport, Bangkok, Singapore, Port Kelang, Penang","Hongkong, Siam Seaport, Bangkok, Singapore, Port Kelang, Penang"
"703","1",2005,NA,22,"Hongkong, Singapore","Hongkong, Singapore"
"704","1",2005,NA,22,"Hongkong, Singapore, Port Kelang","Hongkong, Singapore, Port Kelang"
"705","17",2021,NA,22,"Hongkong, Singapore, Port Kelang, Bangkok, Ho Chi Minh City, Haiphong, Da Nang, Jakarta","Hongkong, Singapore, Port Kelang, Bangkok, Ho Chi Minh City, Haiphong, Da Nang, Jakarta"
"706","14",2018,"Hosei Ocean",22,"Hongkong, Singapore, Port Kelang, Bangkok, Ho Chi Minh City, Jakarta","Hongkong, Singapore, Port Kelang, Bangkok, Ho Chi Minh City, Jakarta"
"707","14",2018,NA,22,"Hongkong, Singapore, Port Kelang, Pasir Gudang","Hongkong, Singapore, Port Kelang, Pasir Gudang"
"708","1",2005,NA,22,"Hongkong, Singapore, Port Kelang, Penang","Hongkong, Singapore, Port Kelang, Penang"
"709","12",2016,"Marine Emerald",22,"Hongkong, Singapore, Port Kelang, Siam Seaport, Bangkok, Jakarta","Hongkong, Singapore, Port Kelang, Siam Seaport, Bangkok, Jakarta"
"710","2",2006,NA,22,"Hongkong, Singapre, Port Kelang","Hongkong, Singapre, Port Kelang"
"711","4",2008,NA,24,"Hongkong, Tanjung Pelepas","Hongkong, (1)Tanjung Pelepas"
