"","year","operator","dw","data_source"
"195",2005,"Konoike",17597,"HB"
"196",1978,"Korea Marine Trans/NYK",10340,"CIY"
"197",1971,"KSC",16580,"CIY"
"198",1984,"Kyowa",2050,"CIY"
"199",2005,"Kyowa Kaiun",33154,"HB"
"200",1979,"Laser Lines",17000,"CIY"
"201",1970,"Lash Carriers",6000,"CIY"
"202",1976,"Latvian Shipping Co",1000,"CIY"
"203",2005,"LauritzenCool",86969,"HB"
"204",1970,"Lauro",1040,"CIY"
"205",1979,"Lloyd Brasileiro",13400,"CIY"
"206",1979,"Lloyd Triestino",6000,"CIY"
"207",2005,"Lloyd Triestino",2364114,"HB"
"208",2005,"Lufeng",20404,"HB"
"209",2005,"Lykes",350656,"HB"
"210",1965,"Lykes Lines",21280,"CIY"
"211",2007,"MacAndrews",35966,"HB"
"212",1967,"Maersk",10000,"CIY"
"213",2005,"Maersk",16884592,"HB"
"214",2007,"Magistral Container Line",25023,"HB"
"215",1980,"Mambisa",3360,"CIY"
"216",1968,"Manchester Liners",13600,"CIY"
"217",1969,"Marasia",1500,"CIY"
"218",1973,"Marfret",4770,"CIY"
"219",2005,"Mariana",18104,"HB"
"220",2005,"Maritima Maruba S. A.",176599,"HB"
"221",1972,"Maritime Container Line",2860,"CIY"
"222",1981,"Maruba",5690,"CIY"
"223",2005,"Maruni Line",25119,"HB"
"224",1965,"Matson",32160,"CIY"
"225",2008,"MCL",25009,"HB"
"226",1972,"Med-Club",34940,"CIY"
"227",1983,"Merzario",8510,"CIY"
"228",1978,"MFECS",14620,"CIY"
"229",2005,"MFS",98920,"HB"
"230",2005,"Minsheng Shipping",26317,"HB"
"231",2005,"MISC",470585,"HB"
"232",1976,"Mixte",6800,"CIY"
"233",1974,"MOL",14060,"CIY"
"234",2005,"MOL",5004560,"HB"
"235",1986,"MOL/NYK",25770,"CIY"
"236",1975,"Montemar",4220,"CIY"
"237",1978,"Montreal Europe Nav",3080,"CIY"
"238",1965,"Moore-McCormack Lines Inc",35400,"CIY"
"239",1970,"MSC",15300,"CIY"
"240",2005,"MSC",4063152,"HB"
"241",2005,"Nagato",10410,"HB"
"242",2005,"Nam Sung",157156,"HB"
"243",1976,"Nav del Odiel",4260,"CIY"
"244",1970,"Nedlloyd",5090,"CIY"
"245",1973,"Neptune Orient Lines",11000,"CIY"
"246",1971,"New England Express Line",14760,"CIY"
"247",2014,"New Golden Sea Shipping",38890,"HB"
"248",2005,"NEW ONTO SHIPPING",25103,"HB"
"249",2007,"Nile Dutch",76359,"HB"
"250",2005,"Ningbo Ocean Shipping",23063,"HB"
"251",1987,"Nissan",3400,"CIY"
