"","alliance_group_name"
"304","CMA CGM/Hapag/NYK/OOCL"
"305","CMA CGM/Hapag/ONE/OOCL"
"306","CMA CGM/Hyundai/KMTC/PEL/SCI"
"307","CMA CGM/Hyundai/Maersk"
"308","CMA CGM/Maersk"
"309","CMA CGM/Maersk/MSC"
"310","CMA CGM/Maersk/Safmarine"
"311","CMA CGM/MSC"
"312","CMA CGM/MSC/[Norasia/CSAV](Wallem)"
"313","CMA CGM/MSC/UASC"
"314","CMA CGM/MSC/UASC(Summit)"
"315","CMA CGM/OOCL"
"316","CMA CGM/UASC"
"317","CMA CGM/UASC(Summit)"
"318","COSCO"
"319","Cosco Shipping(Cosco-Toho)"
"320","COSCO/CSCL"
"321","COSCO/CSCL/PIL(Mariana)/Wan Hai"
"322","COSCO/CSCL/PIL(Wallem)/Wan Hai"
"323","COSCO/Emirates Ship.(HASCO)/KMTC/T.S. Lines"
"324","COSCO/Evergreen"
"325","COSCO/Evergreen/Gold Star(Zim)/ONE/OOCL/PIL(Mariana)"
"326","COSCO/Evergreen/Hanjin/KL"
"327","COSCO/Evergreen/Hanjin/KL/Yang Ming"
"328","COSCO/Evergreen/Hanjin/Zim"
"329","COSCO/Evergreen/Hapag"
"330","COSCO/Evergreen/Hapag/ONE/PIL/Simatech/T.S. Lines/Yang Ming"
"331","COSCO/Evergreen/Interasia/ONE/Wan Hai"
"332","COSCO/Evergreen/ITS"
"333","COSCO/Evergreen/KL/MOL/PIL"
"334","COSCO/Evergreen/KL/MOL/PIL(Mariana)"
"335","COSCO/Evergreen/KL/PIL(Mariana)/Wan Hai"
"336","COSCO/Evergreen/KL/Yang Ming"
"337","COSCO/Evergreen/KMTC/Simatech"
"338","COSCO/Evergreen/LT"
"339","COSCO/Evergreen/MOL"
"340","COSCO/Evergreen/ONE/PIL(Mariana)"
"341","COSCO/Evergreen/ONE/PIL(Mariana)/Wan Hai"
"342","COSCO/Evergreen/OOCL"
"343","COSCO/Evergreen/OOCL/Simatech"
"344","COSCO/Evergreen/PIL(Mariana)"
"345","COSCO/Evergreen/PIL(Mariana)/Wan Hai"
"346","COSCO/Evergreen/PIL(Mariana)/Wan Hai/Yang Ming"
"347","COSCO/Evergreen/PIL(Mariana)/Yang Ming"
"348","COSCO/Evergreen/PIL(Wallem)"
"349","COSCO/Evergreen/PIL(Wallem)/Wan Hai"
"350","COSCO/Evergreen/PIL/Wan Hai"
"351","COSCO/Evergreen/Samudera/Yang Ming"
"352","COSCO/Evergreen/SEACON"
"353","COSCO/Evergreen/Simatech"
"354","COSCO/Evergreen/Zim"
"355","COSCO/Gold Star"
"356","COSCO/Gold Star(Zim)/MOL"
"357","COSCO/Gold Star(Zim)/ONE"
"358","COSCO/Gold Star(Zim)/ONE/OOCL"
"359","COSCO/Gold Star/HMM/Yang Ming"
"360","COSCO/Gold Star/KL/MOL/NYK/PIL"
"361","COSCO/Gold Star/OOCL"
"362","COSCO/Gold Star/PIL"
"363","COSCO/Gold Star/PIL(Wallem)"
"364","COSCO/Gold Star/Yang Ming"
"365","COSCO/Hamburg Sud(Seven Seas)/Hapag/Maersk/MOL/NYK"
"366","COSCO/Hamburg Sud(Seven Seas)/Hapag/MOL/NYK"
"367","COSCO/Hamburg Sud(Seven Seas)/Maersk/ONE"
"368","COSCO/Hamburg Sud(Seven Seas)/Maersk/ONE/Sealand Asia"
"369","COSCO/Hanjin"
"370","COSCO/Hanjin/KL"
"371","COSCO/Hanjin/KL/MOL/Yang Ming"
"372","COSCO/Hanjin/KL/Senator/Yang Ming"
"373","COSCO/Hanjin/KL/Yang Ming"
"374","COSCO/Hanjin/KL/Yang Ming/Evergreen"
"375","COSCO/Hapag/OOCL"
"376","COSCO/Interasia"
"377","COSCO/Interasia/ONE/OOCL/Wan Hai"
"378","COSCO/Interasia/OOCL/Wan Hai"
"379","COSCO/Interasia/Wan Hai"
"380","COSCO/Interasia/Yang Ming"
"381","COSCO/KL/MOL/NYK/PONL"
"382","COSCO/KL/PIL(Mariana)/SCI/Simatech/Wan Hai"
"383","COSCO/KL/PIL(Mariana)/Wan Hai"
"384","COSCO/KL/Wan Hai"
"385","COSCO/KL/Yang Ming"
"386","COSCO/KMTC(CMC)"
"387","COSCO/KMTC/T.S. Lines"
